Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,Unnamed: 33_level_0_Matches,Team,Playing Time_MP
Kike Pérez,es ESP,MF,27-198,,3,226.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.3,0.5,2.0,20.0,4.0,0.0,0.0,0.0,0.0,0.0,0.08,0.12,0.2,0.08,0.2,Matches,Valladolid,3.0
Raúl Moro,es ESP,"FW,MF",21-269,,2,203.0,2.3,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.3,0.3,0.4,0.7,14.0,15.0,32.0,0.44,0.0,0.44,0.44,0.44,0.15,0.16,0.3,0.15,0.3,Matches,Valladolid,3.0
Selim Amallah,ma MAR,MF,27-289,,2,189.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.4,8.0,13.0,6.0,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.21,0.21,0.21,Matches,Valladolid,3.0
Stanko Jurić,hr CRO,MF,28-014,,2,189.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.1,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.0,0.03,Matches,Valladolid,3.0
Eray Cömert,ch SUI,"DF,MF",26-208,,2,171.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.11,0.11,0.11,Matches,Valladolid,2.0
Mamadou Sylla,sn SEN,FW,30-163,,2,171.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.4,1.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.2,0.02,0.22,0.2,0.22,Matches,Valladolid,3.0
Javi Sánchez,es ESP,DF,27-169,,2,151.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.11,0.0,0.11,Matches,Valladolid,2.0
Amath,sn SEN,FW,28-045,,2,136.0,1.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.2,0.5,4.0,5.0,12.0,0.0,0.66,0.66,0.0,0.66,0.19,0.13,0.32,0.19,0.32,Matches,Valladolid,3.0
Iván Sánchez,es ESP,"MF,FW",31-342,,1,140.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.1,5.0,5.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.09,0.0,0.09,Matches,Valladolid,3.0
Víctor Meseguer,es ESP,MF,25-082,,1,109.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.13,0.13,0.13,Matches,Valladolid,3.0
Marcos André,br BRA,FW,27-315,,1,80.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Valladolid,2.0
Darwin Machís,ve VEN,MF,31-205,,1,57.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.03,0.03,Matches,Valladolid,1.0
Juanmi Latasa,es ESP,FW,23-160,,0,29.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.62,0.0,0.62,0.62,0.62,Matches,Valladolid,1.0
Mario Martín,es ESP,MF,20-178,,0,20.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.09,0.09,0.09,Matches,Valladolid,1.0
Chuky san jose,es ESP,MF,20-123,,0,10.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42,0.42,0.0,0.42,Matches,Valladolid,2.0
David Torres,es ESP,DF,21-178,,0,9.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Valladolid,1.0
Stipe Biuk,hr CRO,FW,21-248,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Valladolid,0.0
Raúl Chasco,es ESP,DF,20-352,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Valladolid,0.0
André Ferreira,pt POR,GK,28-093,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Valladolid,0.0
Jorge Gonzalez,es ESP,DF,19-167,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Valladolid,0.0
César de la Hoz,es ESP,MF,32-153,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Valladolid,0.0
Arnau Rafús,es ESP,GK,21-125,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Valladolid,0.0
Squad Total,,,26.4,,33,270.0,3.0,1.0,1.0,2.0,1.0,0.0,0.0,4.0,0.0,2.3,2.3,1.8,4.1,47.0,112.0,110.0,0.33,0.33,0.67,0.33,0.67,0.77,0.62,1.38,0.77,1.38,,Valladolid,3.0
Opponent Total,,,26.7,,33,270.0,3.0,3.0,3.0,6.0,3.0,0.0,0.0,8.0,0.0,2.9,2.9,2.5,5.4,36.0,128.0,127.0,1.0,1.0,2.0,1.0,2.0,0.98,0.83,1.81,0.98,1.81,,Valladolid,3.0
Catena,es ESP,DF,29-307,3.0,3,270.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.3,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.09,0.09,0.09,Matches,Osasuna,
Jorge Herrando,es ESP,DF,23-184,3.0,3,270.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.0,0.1,3.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.03,0.03,Matches,Osasuna,
Sergio Herrera,es ESP,GK,31-086,3.0,3,270.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Osasuna,
Lucas Torró,es ESP,MF,30-042,3.0,3,264.0,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,Matches,Osasuna,
